sep=;
map_ref;event_id;date;municipality;province;region;latitude;longitude;collapse_severity;triggered;specific_cause;source_confidence;structural_type;material_type;description
"P2";"B00.10.03";"2000-10-13";"Ala di Stura";"Torino";"Piemonte";"45.3131";"7.2887";"TC";"true";"Hydraulic";"High";"Beam bridge";"Reinforced concrete";"Total collapse of a cycle-pedestrian bridge over the Stura di Ala near Ala di Stura (Torino) on 13-16 October 2000. as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Valle di Viù area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse."
"";"B00.10.04";"2000-10-13";"Ala di Stura";"Torino";"Piemonte";"45.3135853526999";"7.29657818693116";"PC";"true";"Hydraulic";"High";"Beam bridge";"Reinforced concrete";"Total collapse of a provincial bridge over the Stura di Lanzo near Ala di Stura (Torino) on 13-16 October 2000. as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Valli di Lanzo area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse."
"P3";"B00.10.05";"2000-10-13";"Ala di Stura";"Torino";"Piemonte";"45.3121";"7.2999";"TC";"true";"Hydraulic";"High";"Beam bridge";"Reinforced concrete";"Total collapse of a municipal bridge over the Stura di Lanzo near Ala di Stura (Torino) on 13-16 October 2000. as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Valli di Lanzo area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse."
"";"B00.10.06";"2000-10-13";"Felleto";"Torino";"Piemonte";"45.3092";"7.7552";"TC";"true";"Hydraulic";"High";"Beam bridge";"Reinforced concrete";"Total collapse of a provincial bridge over the Orco stream near Felleto (Torino) on 13-16 October 2000. as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Valle Orco area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse."
"";"B00.10.07";"2000-10-13";"Balme";"Torino";"Piemonte";"45.3020694813747";"7.20799616291084";"TC";"true";"Hydraulic";"High";"Beam bridge";"Reinforced concrete";"Total collapse of a municipal bridge over the Stura di Lanzo near Balme (Torino) on 13-16 October 2000. as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Val Grande di Lanzo area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse."
"";"B00.10.08";"2000-10-13";"Balme";"Torino";"Piemonte";"45.3024231876392";"7.17715316394916";"TC";"true";"Hydraulic";"High";"Beam bridge";"Reinforced concrete";"Total collapse of a municipal bridge over the Stura di Ala near Balme (Torino) on 13-16 October 2000. as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Valle di Viù area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse."
"";"B00.10.09";"2000-10-13";"Chialamberto";"Torino";"Piemonte";"45.3624718640682";"7.34222029499744";"TC";"true";"Hydraulic";"High";"Beam bridge";"Reinforced concrete";"Total collapse of a cycle-pedestrian bridge over the Stura di Valgrande near Chialamberto (Torino) on 13-16 October 2000. as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Val Grande di Lanzo area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse."
"";"B00.10.10";"2000-10-13";"Chialamberto";"Torino";"Piemonte";"45.3626772288527";"7.34517738330256";"TC";"true";"Hydraulic";"High";"Beam bridge";"Reinforced concrete";"Total collapse of a provincial bridge over the Stura di Valgrande near Chialamberto (Torino) on 13-16 October 2000. as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Val Grande di Lanzo area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse."
"";"B00.10.11";"2000-10-13";"Pinerolo";"Torino";"Piemonte";"44.8674241589211";"7.3347469256552";"TC";"true";"Hydraulic";"High";"Beam bridge";"Reinforced concrete";"Total collapse of a provincial bridge over the Chisone stream near Pinerolo (Torino) on 13-16 October 2000. as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Val Chisone area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse."
"";"B00.10.12";"2000-10-13";"Pinerolo";"Torino";"Piemonte";"44.8749";"7.3105";"PC";"true";"Hydraulic";"High";"Beam bridge";"Reinforced concrete";"Total collapse of a provincial bridge over the Chisone stream near Pinerolo (Torino) on 13-16 October 2000. as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Val Chisone (second bridge) area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse."
