sep=;
source_id;event_id;source_title;source_type;source_role;publication_date;source_url;notes
"SRC0030";"B24.09.01";"Allerta meteo per maltempo in Piemonte. crolla un ponte nel Torinese";"Sky TG24";"News";"2024-09-05";"https://tg24.sky.it/cronaca/2024/09/05/piemonte-maltempo-torino-video";"Regional Rai News report documenting collapse dynamics and hydraulic conditions affecting the area."
"SRC0031";"B24.09.01";"Evento meteo-idrologico 05 settembre 2024";"Protezione Civile";"Official/Technical";"2024-09-30";"https://www.regione.piemonte.it/web/media/44310/download";"Official regional civil protection bulletin documenting severe flooding and infrastructure disruption."
"SRC0032";"B24.09.01";"Maltempo. crolla un ponte nel Torinese: frazioni isolate in Val Susa";"Il Sole 24 ORE";"News";"2024-09-05";"https://stream24.ilsole24ore.com/video/italia/maltempo-crolla-ponte-torinese-frazioni-isolate-val-susa/AFwe6rjD";"Local news source with additional visual documentation and local geographic details regarding the bridge collapse."
"SRC0271";"B17.06.01";"Bridge collapses in Italy across the 21st century: survey and statistical analysis";"Journal Paper";"Scientific";"2025-01-01";"https://doi.org/10.1080/15732479.2025.2483500";"Peer-reviewed paper including this hydraulic collapse in its systematic survey of Italian bridge failures in the 21st century."
"SRC0272";"B17.06.01";"Cedimento strutturale: è crollato lo storico ponte di Strambino";"TorinoToday";"News";"2017-06-15";"https://www.torinotoday.it/cronaca/crollo-ponte-chiusella-strambino.html";"Regional news coverage of the June 2017 Piemonte flood event. documenting the Chiusella stream overflow and related infrastructure damage in the Strambino area."
"SRC0273";"B17.06.01";"Strambino. crollato il ponte di Cerone";"La Sentinella";"News";"2017-06-15";"https://lasentinella.gelocal.it/ivrea/cronaca/2017/06/15/news/strambino-crollato-il-ponte-di-cerone-1.15493029";"La sentinella news"
"SRC0427";"B11.11.01";"Crollo del ponte Bertenga a Torre Pellice";"TorinoToday";"News";"2011-11-07";"https://www.torinotoday.it/cronaca/crollo-ponte-bertenga-torre-pellice.html";"Local news report documenting collapse of Ponte Bertenga over the Pellice river following severe flooding conditions in the Turin province area."
"SRC0428";"B11.11.01";"Crolla ponte sul Pellice: ore d’ansia a Moncalieri";"La Stampa";"News";"2011-11-07";"https://www.lastampa.it/torino/2011/11/07/news/crolla-ponte-sul-pellice-br-ore-d-ansia-a-moncalieri-1.36918170";"Regional news coverage documenting hydraulic emergency conditions and collapse of the bridge infrastructure over the Pellice river."
"SRC0464";"B08.05.02";"Bridge collapses in Italy across the 21st century: survey and statistical analysis";"Journal Paper";"Scientific";"2025-01-01";"https://doi.org/10.1080/15732479.2025.2483500";"Peer-reviewed paper including this hydraulic collapse in its systematic survey."
"SRC0465";"B08.05.02";"Evento alluvionale 29-30 maggio 2008 – relazione tecnica ufficiale";"Regione Piemonte";"Official/Technical";"2008-06-01";"https://www.regione.piemonte.it/web/sites/default/files/media/documenti/2023-07/evento_maggio_2008_pv_cn.pdf";"Official Regione Piemonte technical report confirming the 29 May 2008 flood in the Valli di Lanzo (Stura di Viù) area causing bridge collapse at Usseglio."
"SRC0466";"B08.05.02";"Alluvione maggio 2008 in Provincia di Cuneo: resoconto completo";"MeteoNetwork";"News";"2008-06-01";"https://www.meteonetwork.it/wp-content/uploads/2017/03/Alluvione-nel-Cuneese.pdf";"MeteoNetwork report documenting bridge collapses caused by the late May 2008 flood event across the Cuneo and Turin Alpine valleys. including the Stura di Viù at Usseglio."
"SRC0497";"B05.11.01";"Bridge collapses in Italy across the 21st century: survey and statistical analysis";"Journal Paper";"Scientific";"2025-01-01";"https://doi.org/10.1080/15732479.2025.2483500";"Peer-reviewed paper confirming the 15 November 2005 spontaneous collapse of the cycle-pedestrian overpass over the Turin-Genoa railway at Villanova d'Asti. caused by Design and Construction defects, with 2 injuries."
"SRC0498";"B05.11.01";"Bloccata la linea ferroviaria Torino-Roma";"Corriere della Sera";"News";"2005-11-14";"https://www.corriere.it/Primo_Piano/Cronache/2005/11_Novembre/14/ferrovia.shtml";"Corriere news"
"SRC0499";"B05.11.01";"Crollo della passerella a Villanova: condanne in Tribunale";"Gazzetta d'Asti";"News";"2011-06-22";"https://www.gazzettadasti.it/2011/06/22/crollo-della-passerella-a-villanova-condanne-in-tribunale-gazzetta-dasti/";"Gazzetta news"
"SRC0557";"B00.10.03";"Evento alluvionale regionale 13-16 ottobre 2000 – monografia ufficiale";"ARPA Piemonte";"Official/Technical";"2002-10-16";"https://www.arpa.piemonte.it/sites/default/files/media/2023-10/Ev2000-2002tot.pdf";"Official ARPA Piemonte monograph documenting the 13-16 October 2000 catastrophic flood across 50% of Piemonte. listing all bridge collapses by valley: Stura di Lanzo, Orco, Soana, Chisone, Dora Baltea, Dora Riparia, Sangone, Po. Confirms 1,800+ damage events and multiple total bridge collapses."
"SRC0558";"B00.10.03";"10 anni fa alluvione Nord-Ovest. fu inferno d'acqua – Piemonte e Valle d'Aosta";"ANSA";"News";"2010-10-13";"https://www.ansa.it/web/notizie/photostory/primopiano/2010/10/13/visualizza_new.html_1733456299.html";"ANSA 10th anniversary special report documenting the October 2000 alluvione. listing bridge collapses and road damage across Piemonte and Valle d'Aosta valleys including Orco, Dora Baltea, Stura di Lanzo and Chisone."
"SRC0559";"B00.10.03";"Bridge collapses in Italy across the 21st century: survey and statistical analysis";"Journal Paper";"Scientific";"2025-01-01";"https://doi.org/10.1080/15732479.2025.2483500";"Peer-reviewed paper including this hydraulic bridge collapse in its systematic survey of Italian bridge failures."
"SRC0560";"B00.10.04";"Evento alluvionale regionale 13-16 ottobre 2000 – monografia ufficiale";"ARPA Piemonte";"Official/Technical";"2002-10-16";"https://www.arpa.piemonte.it/sites/default/files/media/2023-10/Ev2000-2002tot.pdf";"Official ARPA Piemonte monograph documenting the 13-16 October 2000 catastrophic flood across 50% of Piemonte. listing all bridge collapses by valley: Stura di Lanzo, Orco, Soana, Chisone, Dora Baltea, Dora Riparia, Sangone, Po. Confirms 1,800+ damage events and multiple total bridge collapses."
"SRC0561";"B00.10.04";"10 anni fa alluvione Nord-Ovest. fu inferno d'acqua – Piemonte e Valle d'Aosta";"ANSA";"News";"2010-10-13";"https://www.ansa.it/web/notizie/photostory/primopiano/2010/10/13/visualizza_new.html_1733456299.html";"ANSA 10th anniversary special report documenting the October 2000 alluvione. listing bridge collapses and road damage across Piemonte and Valle d'Aosta valleys including Orco, Dora Baltea, Stura di Lanzo and Chisone."
"SRC0562";"B00.10.04";"Bridge collapses in Italy across the 21st century: survey and statistical analysis";"Journal Paper";"Scientific";"2025-01-01";"https://doi.org/10.1080/15732479.2025.2483500";"Peer-reviewed paper including this hydraulic bridge collapse in its systematic survey of Italian bridge failures."
"SRC0563";"B00.10.05";"Evento alluvionale regionale 13-16 ottobre 2000 – monografia ufficiale";"ARPA Piemonte";"Official/Technical";"2002-10-16";"https://www.arpa.piemonte.it/sites/default/files/media/2023-10/Ev2000-2002tot.pdf";"Official ARPA Piemonte monograph documenting the 13-16 October 2000 catastrophic flood across 50% of Piemonte. listing all bridge collapses by valley: Stura di Lanzo, Orco, Soana, Chisone, Dora Baltea, Dora Riparia, Sangone, Po. Confirms 1,800+ damage events and multiple total bridge collapses."
