"event_id","event_slug","date","municipality","province","province_code","province_key","province_raw","province_validation_status","region","latitude","longitude","bridge_crossing_type","bridge_crossing_name","destination_use","collapse_severity","victims","injuries","triggered","cause_category","specific_cause","failure_trigger","failure_process","component_involved","failure_cause_evidence","hydraulic_intelligence","source_confidence","exact_location","bridge_name","structural_type","material_type","construction_year","construction_year_numeric","construction_year_raw","curation_level","description"
"IT00.01.01","campobasso-2000","2000-01-25","Campobasso","Campobasso","70","campobasso","Campobasso","validated","Molise","41.7396698653949","14.7401782897666","road","SS647","National","TC","0","0","true","Natural","Hydraulic","Flood","","","Unspecified","{""trigger"":""flood"",""failure_process"":null,""component_involved"":null,""evidence_level"":""unspecified"",""taxonomy_version"":""hydraulic-v2""}","Medium","true","","Beam bridge","Reinforced concrete","","","","Standard","Total collapse of a national road bridge on the SS647 Bifernina near Campobasso (Molise) on 25 January 2000, triggered by hydraulic forces during winter rainfall causing the Biferno river to flood. No fatalities or injuries were reported. Piena documentata; meccanismo di dettaglio non ricostruibile dalle fonti disponibili."
"IT00.10.01","crissolo-2000-1","2000-10-13","Crissolo","Cuneo","4","cuneo","Cuneo","validated","Piemonte","44.6972928032106","7.16185275629312","waterway","Po river","National","PC","0","0","true","Natural","Hydraulic","Flood","","","Probable","{""trigger"":""flood"",""failure_process"":null,""component_involved"":null,""evidence_level"":""unspecified"",""taxonomy_version"":""hydraulic-v2""}","High","true","","Beam bridge","Reinforced concrete","","","","Standard","Partial collapse / severe damage of a road bridge over the Po at Crissolo during the 13–16 October 2000 flood. The official ARPA Piemonte event report documents irreversible damage to a stone-arch bridge in the municipality and several Po crossings upstream destroyed or severely damaged. The exact identity and detailed failure mechanism of this database record cannot be uniquely reconstructed; process and component therefore remain Unspecified."
"IT00.10.02","crissolo-2000-2","2000-10-13","Crissolo","Cuneo","4","cuneo","Cuneo","validated","Piemonte","44.6984","7.1584","waterway","Po river","National","PC","0","0","true","Natural","Hydraulic","Flood","Bank erosion / embankment failure","Multiple components","Documented","{""trigger"":""flood"",""failure_process"":""bank_erosion_or_embankment_failure"",""component_involved"":""multiple_components"",""evidence_level"":""documented"",""taxonomy_version"":""hydraulic-v2""}","High","true","","Beam bridge","Reinforced concrete","","","","Standard","Partial collapse of a road bridge over the Po near Crissolo during the October 2000 flood. D'Angelo, Ballio & Ravazzani (2025), record P008, classifies the process as lateral bank/embankment erosion with damage involving abutment/superstructure components. The official ARPA Piemonte report independently documents severe bridge damage and destroyed crossings along the Po in the Crissolo area."
"IT00.10.03","ala-di-stura-2000-1","2000-10-13","Ala di Stura","Torino","201","torino","Torino","validated","Piemonte","45.3131","7.2887","waterway","Stura di Ala stream","Cycle-pedestrian","TC","0","0","true","Natural","Hydraulic","Flood","","","Unspecified","{""trigger"":""flood"",""failure_process"":null,""component_involved"":null,""evidence_level"":""unspecified"",""taxonomy_version"":""hydraulic-v2""}","High","true","","Beam bridge","Reinforced concrete","","","","Standard","Total collapse of a cycle-pedestrian bridge over the Stura di Ala near Ala di Stura (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Valle di Viù area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse. Piena documentata; meccanismo di dettaglio non ricostruibile dalle fonti disponibili."
"IT00.10.04","ala-di-stura-2000-2","2000-10-13","Ala di Stura","Torino","201","torino","Torino","validated","Piemonte","45.3135853526999","7.29657818693116","waterway","Stura di Lanzo stream","Provincial/Regional","PC","0","0","true","Natural","Hydraulic","Flood","","","Unspecified","{""trigger"":""flood"",""failure_process"":null,""component_involved"":null,""evidence_level"":""unspecified"",""taxonomy_version"":""hydraulic-v2""}","High","true","","Beam bridge","Reinforced concrete","","","","Standard","Partial collapse of a provincial bridge over the Stura di Lanzo near Ala di Stura (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Valli di Lanzo area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse. Piena documentata; meccanismo di dettaglio non ricostruibile dalle fonti disponibili."
"IT00.10.05","ala-di-stura-2000-3","2000-10-13","Ala di Stura","Torino","201","torino","Torino","validated","Piemonte","45.3121","7.2999","waterway","Stura di Lanzo stream","Municipal","TC","0","0","true","Natural","Hydraulic","Flood","Overtopping / hydrodynamic action","Deck / superstructure","Probable","{""trigger"":""flood"",""failure_process"":""overtopping_or_hydrodynamic_action"",""component_involved"":""deck_or_superstructure"",""evidence_level"":""probable"",""taxonomy_version"":""hydraulic-v2""}","High","true","","Beam bridge","Reinforced concrete","","","","Standard","Total collapse of a municipal bridge over the Stura di Lanzo near Ala di Stura (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Valli di Lanzo area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse. D'Angelo, Ballio & Ravazzani (2025), 'Geomorphologic risk factors for river bridges', IJDRR, database supplementare S3, record P017 (dec=1, ciclopedonale, crollo totale, coordinate coincidenti con la scheda): processo = carico idraulico sulla struttura; componente = impalcato. La scheda indica tipologia 'Municipal': discrepanza tipologica da verificare (Ala di Stura, piena dello Stura, ott. 2000)."
"IT00.10.06","felleto-2000","2000-10-13","Felleto","Torino","201","torino","Torino","validated","Piemonte","45.3092","7.7552","waterway","Orco stream","Provincial/Regional","TC","0","0","true","Natural","Hydraulic","Flood","Scour","Pier / foundation","Documented","{""trigger"":""flood"",""failure_process"":""scour"",""component_involved"":""pier_foundation"",""evidence_level"":""documented"",""taxonomy_version"":""hydraulic-v2""}","High","true","Ponte Feletto-Lusigliè (SP41)","Beam bridge","Reinforced concrete","1935","1935","1935","Standard","Total collapse of a provincial bridge over the Orco stream near Felleto (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Valle Orco area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse. Rapporto d'evento Regione Piemonte - Direzione Servizi Tecnici di Prevenzione (aprile 2001): nel corso della piena dell'Orco l'erosione di fondo ha provocato il sottoscalzamento della pila centrale e il cedimento dell'intera struttura del ponte SP41 tra Feletto e Lusiglie' (edificato nel 1935)."
"IT00.10.07","balme-2000-1","2000-10-13","Balme","Torino","201","torino","Torino","validated","Piemonte","45.3020694813747","7.20799616291084","waterway","Stura di Lanzo stream","Municipal","TC","0","0","true","Natural","Hydraulic","Flood","","","Unspecified","{""trigger"":""flood"",""failure_process"":null,""component_involved"":null,""evidence_level"":""unspecified"",""taxonomy_version"":""hydraulic-v2""}","High","true","","Beam bridge","Reinforced concrete","","","","Standard","Total collapse of a municipal bridge over the Stura di Lanzo near Balme (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Val Grande di Lanzo area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse. Piena documentata; meccanismo di dettaglio non ricostruibile dalle fonti disponibili."
"IT00.10.08","balme-2000-2","2000-10-13","Balme","Torino","201","torino","Torino","validated","Piemonte","45.3024231876392","7.17715316394916","waterway","Stura di Ala stream","Municipal","TC","0","0","true","Natural","Hydraulic","Flood","","","Unspecified","{""trigger"":""flood"",""failure_process"":null,""component_involved"":null,""evidence_level"":""unspecified"",""taxonomy_version"":""hydraulic-v2""}","High","true","","Beam bridge","Reinforced concrete","","","","Standard","Total collapse of a municipal bridge over the Stura di Ala near Balme (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Valle di Viù area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse. Piena documentata; meccanismo di dettaglio non ricostruibile dalle fonti disponibili."
"IT00.10.09","chialamberto-2000-1","2000-10-13","Chialamberto","Torino","201","torino","Torino","validated","Piemonte","45.3624718640682","7.34222029499744","waterway","Stura di Valgrande stream","Cycle-pedestrian","TC","0","0","true","Natural","Hydraulic","Flood","","","Unspecified","{""trigger"":""flood"",""failure_process"":null,""component_involved"":null,""evidence_level"":""unspecified"",""taxonomy_version"":""hydraulic-v2""}","High","true","","Beam bridge","Reinforced concrete","","","","Standard","Total collapse of a cycle-pedestrian bridge over the Stura di Valgrande near Chialamberto (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Val Grande di Lanzo area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse. Piena documentata; meccanismo di dettaglio non ricostruibile dalle fonti disponibili."
