codice_iop;conferente;data_creazione;tipologia_infrastruttura;nome_infrastruttura;tipologia_opera;nome_opera;anno_entrata_esercizio;ellissoide;sistema_di_riferimento;coordinate_geografiche;regione;provincia;comune;ente_concedente;concessionario;ente_vigilante;codice_cup
FEAI0003PNREHTCBVR;Comune di Augusta;27/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Cavalcaferrovia S.P. 61;CAVALCAVIA;Cavalcaferrovia S.P. 61; ;WGS84;EPSG:4326;POINT (15.225940346717836 37.25490581568956);Sicilia;Siracusa;Augusta;Comune di Augusta;//; ; 
FEAI0FTMPNR0DEAVDC;Trentino Trasporti Spa;13/11/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;SOTTOPASSO;Sottopasso di strada locale - progr. km 60+164 FTM ;2003;WGS84;EPSG:4326;POINT (10.873175046179242 46.32887818464714);Trentino Alto Adige;Trento;Dimaro Folgarida;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNR17F29YV;Trentino Trasporti Spa;20/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;"Viadotto ""Marilleva 2"" - progr. km 65+311 FTM";2003;WGS84;EPSG:4326;POINT (10.812664633478981 46.31543812304151);Trentino Alto Adige;Trento;Mezzana;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNR1NBPHN8;Trentino Trasporti Spa;20/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;"Ponte ""S. Giustina"" sul torrente Noce - progr. km 37+361 FTM";1964;WGS84;EPSG:4326;POINT (11.060419745456707 46.34311167605754);Trentino Alto Adige;Trento;Predaia;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNR3WDTLUV;Trentino Trasporti Spa;29/05/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;Ponte sul fiume Adige - progr. km 14+630 FTM;1964;WGS84;EPSG:4326;POINT (11.129031284819423 46.191617171437095);Trentino Alto Adige;Trento;San Michele all'Adige;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNR4ACF3EA;Trentino Trasporti Spa;21/11/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;Ponte sul rio Val Panciana - progr. km 64+483 FTM;2003;WGS84;EPSG:4326;POINT (10.821648373008193 46.31796444374705);Trentino Alto Adige;Trento;Commezzadura;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNR5APMKN6;Trentino Trasporti Spa;20/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;Viadotto Croviana  - progr. km 56+053 FTM;2003;WGS84;EPSG:4326;POINT (10.917738163083754 46.350825552145636);Trentino Alto Adige;Trento;Malé;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNR6WLIZOA;Trentino Trasporti Spa;12/11/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;Ponticello sul rio Valle dei Morti - progr. km 11+380 FTM ; ;WGS84;EPSG:4326;POINT (11.11233115668545 46.16553046468292);Trentino Alto Adige;Trento;Lavis;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNR9J0L0CE;Trentino Trasporti Spa;20/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;"Viadotto ""Dimaro 1 bis"" - progr. km 60+937";2003;WGS84;EPSG:4326;POINT (10.864039632446993 46.32767482189335);Trentino Alto Adige;Trento;Dimaro Folgarida;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRBKYGHSN;Trentino Trasporti Spa;13/11/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;Ponticello sul rio Molsin - progr. Km 33+577 FTM; ;WGS84;EPSG:4326;POINT (11.070934198230955 46.312365953922956);Trentino Alto Adige;Trento;Predaia;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
