event_id;event_slug;date;municipality;province;region;latitude;longitude;bridge_crossing_type;bridge_crossing_name;destination_use;collapse_severity;victims;injuries;triggered;cause_category;specific_cause;source_confidence;exact_location;bridge_name;structural_type;material_type;construction_year;curation_level;description
B00.01.01;campobasso-2000;2000-01-25;Campobasso;Campobasso;Molise;41.7396698653949;14.7401782897666;road;SS647;National;TC;0;0;TRUE;Natural;Hydraulic;Medium;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a national road bridge on the SS647 Bifernina near Campobasso (Molise) on 25 January 2000, triggered by hydraulic forces during winter rainfall causing the Biferno river to flood. No fatalities or injuries were reported.
B00.10.01;crissolo-2000-1;2000-10-13;Crissolo;Cuneo;Piemonte;44.6972928032106;7.16185275629312;waterway;Stura di Demonte river;National;PC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a national bridge over the Stura di Demonte near Crissolo (Cuneo) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (SS20 Monginevro area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.02;crissolo-2000-2;2000-10-13;Crissolo;Cuneo;Piemonte;44.6984;7.1584;waterway;Stura di Demonte river;National;PC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a national bridge over the Stura di Demonte near Crissolo (Cuneo) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (SS20 Monginevro (second bridge) area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.03;ala-di-stura-2000-1;2000-10-13;Ala di Stura;Torino;Piemonte;45.3131;7.2887;waterway;Stura di Ala stream;Cycle-pedestrian;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a cycle-pedestrian bridge over the Stura di Ala near Ala di Stura (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Valle di Viù area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.04;ala-di-stura-2000-2;2000-10-13;Ala di Stura;Torino;Piemonte;45.3135853526999;7.29657818693116;waterway;Stura di Lanzo stream;Provincial/Regional;PC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a provincial bridge over the Stura di Lanzo near Ala di Stura (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Valli di Lanzo area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.05;ala-di-stura-2000-3;2000-10-13;Ala di Stura;Torino;Piemonte;45.3121;7.2999;waterway;Stura di Lanzo stream;Municipal;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a municipal bridge over the Stura di Lanzo near Ala di Stura (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Valli di Lanzo area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.06;felleto-2000;2000-10-13;Felleto;Torino;Piemonte;45.3092;7.7552;waterway;Orco stream;Provincial/Regional;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a provincial bridge over the Orco stream near Felleto (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Valle Orco area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.07;balme-2000-1;2000-10-13;Balme;Torino;Piemonte;45.3020694813747;7.20799616291084;waterway;Stura di Lanzo stream;Municipal;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a municipal bridge over the Stura di Lanzo near Balme (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Val Grande di Lanzo area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.08;balme-2000-2;2000-10-13;Balme;Torino;Piemonte;45.3024231876392;7.17715316394916;waterway;Stura di Ala stream;Municipal;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a municipal bridge over the Stura di Ala near Balme (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Valle di Viù area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.09;chialamberto-2000-1;2000-10-13;Chialamberto;Torino;Piemonte;45.3624718640682;7.34222029499744;waterway;Stura di Valgrande stream;Cycle-pedestrian;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a cycle-pedestrian bridge over the Stura di Valgrande near Chialamberto (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Val Grande di Lanzo area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
