source_id;event_id;source_role;source_type;source_title;source_url;publication_date;access_date;language;notes
SRC0001;B18.08.01;Official/Technical;MIT;Relazione della Commissione Ispettiva Ministeriale sul crollo del Viadotto Polcevera;https://www.mit.gov.it/sites/default/files/media/notizia/2018-09/Comm_Isp_Mit%20Relaz_Viadotto_Polcevera_%20parte1.pdf;2018-09-14;2026-05-06;IT;Official technical report published by the Italian Ministry of Infrastructure and Transport
SRC0002;B18.08.01;News;ANSA;Le 43 vittime del crollo del ponte Morandi;https://www.ansa.it/liguria/notizie/2018/08/18/-le-43-vittime-del-crollo-del-ponte-morandi_9f53cd46-1b85-45ae-a23a-dc92c9c5cef3.html;2018-08-18;2026-05-06;IT;National news agency coverage
SRC0003;B18.08.01;Scientific;Journal Paper;Bridge collapses in Italy across the 21st century: survey and statistical analysis;https://doi.org/10.1080/15732479.2025.2483500;2025-01-01;2026-05-06;EN;Peer-reviewed paper including Morandi Bridge case
SRC0004;B23.05.01;News;Il Regionale;Crollo del viadotto a Longobucco, Anas riapre la SS177;https://www.ilregionale.it/2023/08/01/crollo-del-viadotto-a-longobucco-anas-riapre-la-ss-177/;2023-08-01;2026-05-06;IT;Article reporting official ANAS technical statements regarding the collapse and subsequent interventions
SRC0005;B23.05.01;News;Rai News;Longobucco, crolla il viadotto Ortiano 2 sulla statale 177;https://www.rainews.it/tgr/calabria/video/2023/05/longobucco-viadotto-trionto-anas-ss177-maltempo-fa2b56ca-af8b-48e2-a89e-96bdc9cff09f.html;2023-05-03;2026-05-06;IT;National news coverage with video documentation
SRC0006;B23.05.01;Scientific;Journal Paper;Bridge collapses in Italy across the 21st century: survey and statistical analysis;https://doi.org/10.1080/15732479.2025.2483500;2025-01-01;2026-05-06;EN;Peer-reviewed paper including Morandi Bridge case
SRC0007;B15.04.01;Official/Technical;Protezione Civile;OCDPC n. 258 del 30 maggio 2015 – interventi urgenti per il dissesto del viadotto Himera I;https://www.protezionecivile.gov.it/static/d4fa6433b548527b0a2cd60928fc26c9/OCDPC_258_del_30_maggio_2015_Viadotto_Himera_I.pdf;2015-05-30;2026-05-06;IT;Official civil protection document regarding the Himera viaduct landslide emergency
SRC0008;B15.04.01;News;ANSA;Cede pilone su Palermo-Catania, chiusa autostrada A19;https://www.ansa.it/sicilia/notizie/2015/04/10/cede-pilone-su-palermo-catania-chiusa-autostrada-a19_2d3558f3-0be7-4128-83cf-0862bcac719a.html;2015-04-10;2026-05-06;IT;Initial national news coverage of the Himera viaduct collapse caused by landslide phenomena
SRC0009;B16.10.01;Official/Technical;MIT;Incontro al Mit sul cavalcavia di Annone;https://www.mit.gov.it/comunicazione/news/incontro-al-mit-sul-cavalcavia-di-annone;2017-02-14;2026-05-06;IT;Official Ministry communication regarding technical investigations and reconstruction after the collapse
SRC0010;B16.10.01;News;ANSA;Crolla cavalcavia: un morto e 4 feriti;https://www.ansa.it/lombardia/notizie/2016/10/28/crolla-cavalcavia-un-morto-e-4-feriti_44ac9ecb-01b8-4aa7-ac5a-b7fa307cbcbe.html;2018-08-26;2026-05-06;IT;Initial ANSA national coverage of the Annone Brianza overpass collapse
